#Format version: 1.0
time[us],accX[mg],accY[mg],accZ[mg],gyroX[mdps],gyroY[mdps],gyroZ[mdps],magnX[mG],magnY[mG],magnZ[mG],press[hPa],temp[C],hum[%RH],newData,interrupts,fsm1,fsm2,fsm3,fsm4,fsm5,fsm6,fsm7,fsm8,fsm9,fsm10,fsm11,fsm12,fsm13,fsm14,fsm15,fsm16,
33767412,-56,-120,1021,-770,-1386,1955,-46,276,-319,,,,0x078,,,,,,,,,,,,,,,,,,
33794708,-56,-120,1021,-770,-1386,1955,-34,270,-333,,,,0x020,,,,,,,,,,,,,,,,,,
33848244,-54,-117,1015,-1701,-1233,1736,-34,270,-333,,,,0x058,,,,,,,,,,,,,,,,,,
33891938,-54,-117,1015,-1701,-1233,1736,-37,285,-325,,,,0x020,,,,,,,,,,,,,,,,,,
33927025,-50,-132,1003,748,975,1146,-37,285,-325,,,,0x058,,,,,,,,,,,,,,,,,,
33991225,-50,-132,1003,748,975,1146,-43,282,-330,,,,0x020,,,,,,,,,,,,,,,,,,
34007855,-53,-132,1023,2677,1426,1815,-43,282,-330,,,,0x018,,,,,,,,,,,,,,,,,,
34086416,-58,-119,992,2178,2550,1828,-43,282,-330,,,,0x058,,,,,,,,,,,,,,,,,,
34091160,-58,-119,992,2178,2550,1828,-31,277,-331,,,,0x020,,,,,,,,,,,,,,,,,,
34167245,-58,-126,1007,-446,-253,1583,-31,277,-331,,,,0x058,,,,,,,,,,,,,,,,,,
34190440,-58,-126,1007,-446,-253,1583,-30,270,-321,,,,0x020,,,,,,,,,,,,,,,,,,
34246029,-56,-120,1016,1841,-936,1452,-30,270,-321,,,,0x058,,,,,,,,,,,,,,,,,,
34289727,-56,-120,1016,1841,-936,1452,-42,279,-331,,,,0x020,,,,,,,,,,,,,,,,,,
34324817,-60,-116,1005,3150,-61,1491,-42,279,-331,,,,0x058,,,,,,,,,,,,,,,,,,
34389017,-60,-116,1005,3150,-61,1491,-34,265,-325,,,,0x020,,,,,,,,,,,,,,,,,,
34405643,-59,-110,1017,1990,-700,634,-34,265,-325,,,,0x018,,,,,,,,,,,,,,,,,,
34484196,-57,-109,1009,2576,363,183,-34,265,-325,,,,0x058,,,,,,,,,,,,,,,,,,
34486889,-57,-109,1009,2576,363,183,-43,267,-327,,,,0x020,,,,,,,,,,,,,,,,,,
34565029,-60,-111,1004,6531,1343,695,-43,267,-327,,,,0x058,,,,,,,,,,,,,,,,,,
34586175,-60,-111,1004,6531,1343,695,-40,265,-331,,,,0x020,,,,,,,,,,,,,,,,,,
34643817,-60,-104,998,12263,2213,2231,-40,265,-331,,,,0x058,,,,,,,,,,,,,,,,,,
34685464,-60,-104,998,12263,2213,2231,-37,252,-325,,,,0x020,,,,,,,,,,,,,,,,,,
34724651,-64,-57,1054,23769,4235,6387,-37,252,-325,,,,0x058,,,,,,,,,,,,,,,,,,
34784745,-64,-57,1054,23769,4235,6387,-37,234,-321,,,,0x020,,,,,,,,,,,,,,,,,,
34803425,-73,-27,1014,23305,10640,3648,-37,234,-321,,,,0x018,,,,,,,,,,,,,,,,,,
34881980,-73,-27,1014,22351,7175,1907,-45,229,-328,,,,0x070,,,,,,,,,,,,,,,,,,
34884573,-90,4,1032,22351,7175,1907,-45,229,-328,,,,0x008,,,,,,,,,,,,,,,,,,
34962815,-113,60,1009,32821,9563,1452,-45,229,-328,,,,0x058,,,,,,,,,,,,,,,,,,
34981911,-113,60,1009,32821,9563,1452,-57,201,-318,,,,0x020,,,,,,,,,,,,,,,,,,
35041599,-119,98,978,44375,11156,-61,-57,201,-318,,,,0x058,,,,,,,,,,,,,,,,,,
35081192,-119,98,978,44375,11156,-61,-52,171,-321,,,,0x020,,,,,,,,,,,,,,,,,,
35122422,-142,148,960,50898,7984,-647,-52,171,-321,,,,0x018,,,,,,,,,,,,,,,,,,
35180476,-142,148,960,50898,7984,-647,-52,136,-310,,,,0x060,,,,,,,,,,,,,,,,,,
35201205,-152,281,940,53620,-310,-6575,-52,136,-310,,,,0x018,,,,,,,,,,,,,,,,,,
35279762,-152,281,940,53620,-310,-6575,-60,102,-282,,,,0x060,,,,,,,,,,,,,,,,,,
35282037,-124,280,960,73898,-6304,-20173,-60,102,-282,,,,0x018,,,,,,,,,,,,,,,,,,
35360594,-131,467,916,72795,-3976,-10473,-60,102,-282,,,,0x058,,,,,,,,,,,,,,,,,,
35377638,-131,467,916,72795,-3976,-10473,-67,49,-253,,,,0x020,,,,,,,,,,,,,,,,,,
35441430,-129,519,874,102300,-770,-14761,-67,49,-253,,,,0x058,,,,,,,,,,,,,,,,,,
35476927,-129,519,874,102300,-770,-14761,-63,15,-222,,,,0x020,,,,,,,,,,,,,,,,,,
35520210,-147,581,788,85653,4108,-8426,-63,15,-222,,,,0x018,,,,,,,,,,,,,,,,,,
35576216,-147,581,788,85653,4108,-8426,-60,1,-186,,,,0x060,,,,,,,,,,,,,,,,,,
35598991,-159,706,697,48588,4046,997,-60,1,-186,,,,0x018,,,,,,,,,,,,,,,,,,
35675497,-159,706,697,48588,4046,997,-72,-21,-154,,,,0x060,,,,,,,,,,,,,,,,,,
35679825,-166,741,611,77896,6326,-218,-72,-21,-154,,,,0x018,,,,,,,,,,,,,,,,,,
35758384,-159,835,574,93843,5403,-726,-72,-21,-154,,,,0x058,,,,,,,,,,,,,,,,,,
