#Format version: 1.0
time[us],accX[mg],accY[mg],accZ[mg],gyroX[mdps],gyroY[mdps],gyroZ[mdps],magnX[mG],magnY[mG],magnZ[mG],press[hPa],temp[C],hum[%RH],newData,interrupts,fsm1,fsm2,fsm3,fsm4,fsm5,fsm6,fsm7,fsm8,fsm9,fsm10,fsm11,fsm12,fsm13,fsm14,fsm15,fsm16,
3255626130,-28,-46,1019,752,-380,525,-15,235,-306,,,,0x078,,,,,,,,,,,,,,,,,,
3255678036,-28,-46,1019,752,-380,525,-19,244,-312,,,,0x060,,,,,,,,,,,,,,,,,,
3255704916,-27,-32,1005,940,-818,853,-19,244,-312,,,,0x018,,,,,,,,,,,,,,,,,,
3255777326,-27,-32,1005,940,-818,853,-13,244,-303,,,,0x060,,,,,,,,,,,,,,,,,,
3255783703,-20,-45,1027,651,-2607,-113,-13,244,-303,,,,0x018,,,,,,,,,,,,,,,,,,
3255864302,-19,-33,1027,1041,-861,1478,-13,244,-303,,,,0x018,,,,,,,,,,,,,,,,,,
3255875205,-19,-33,1027,1041,-861,1478,-22,244,-303,,,,0x060,,,,,,,,,,,,,,,,,,
3255943081,-24,-36,1022,1618,853,835,-22,244,-303,,,,0x018,,,,,,,,,,,,,,,,,,
3255974485,-24,-36,1022,1618,853,835,-28,247,-312,,,,0x060,,,,,,,,,,,,,,,,,,
3256021867,-24,-34,1013,140,1198,638,-28,247,-312,,,,0x018,,,,,,,,,,,,,,,,,,
3256073775,-24,-34,1013,140,1198,638,-21,232,-300,,,,0x060,,,,,,,,,,,,,,,,,,
3256102706,-25,-34,1025,336,861,240,-21,232,-300,,,,0x018,,,,,,,,,,,,,,,,,,
3256173063,-25,-34,1025,336,861,240,-15,246,-306,,,,0x060,,,,,,,,,,,,,,,,,,
3256181492,-34,-33,1000,153,1640,468,-15,246,-306,,,,0x018,,,,,,,,,,,,,,,,,,
3256262089,-29,-39,1010,-673,-262,-262,-15,246,-306,,,,0x018,,,,,,,,,,,,,,,,,,
3256270933,-29,-39,1010,-673,-262,-262,-22,255,-312,,,,0x020,,,,,,,,,,,,,,,,,,
3256340877,-23,-48,1021,122,-568,-166,-22,255,-312,,,,0x058,,,,,,,,,,,,,,,,,,
3256370225,-23,-48,1021,122,-568,-166,-22,241,-310,,,,0x020,,,,,,,,,,,,,,,,,,
3256419665,-24,-29,1020,634,-61,1111,-22,241,-310,,,,0x058,,,,,,,,,,,,,,,,,,
3256469513,-24,-29,1020,634,-61,1111,-24,246,-315,,,,0x020,,,,,,,,,,,,,,,,,,
3256500501,-27,-38,1012,-118,100,555,-24,246,-315,,,,0x058,,,,,,,,,,,,,,,,,,
3256568797,-27,-38,1012,-118,100,555,-27,247,-313,,,,0x020,,,,,,,,,,,,,,,,,,
3256579283,-29,-40,1021,-1089,-341,380,-27,247,-313,,,,0x058,,,,,,,,,,,,,,,,,,
3256657830,-29,-41,1013,-481,205,498,-27,247,-313,,,,0x018,,,,,,,,,,,,,,,,,,
3256666672,-29,-41,1013,-481,205,498,-22,249,-318,,,,0x020,,,,,,,,,,,,,,,,,,
3256738663,-23,-46,1025,-363,-288,367,-22,249,-318,,,,0x058,,,,,,,,,,,,,,,,,,
3256765959,-23,-46,1025,-363,-288,367,-22,249,-310,,,,0x020,,,,,,,,,,,,,,,,,,
3256817447,-28,-41,1011,-61,380,455,-22,249,-310,,,,0x058,,,,,,,,,,,,,,,,,,
3256865242,-28,-41,1011,-61,380,455,-22,243,-309,,,,0x020,,,,,,,,,,,,,,,,,,
3256896230,-28,-36,1014,306,-170,437,-22,243,-309,,,,0x058,,,,,,,,,,,,,,,,,,
