#Format version: 1.0
time[us],accX[mg],accY[mg],accZ[mg],gyroX[mdps],gyroY[mdps],gyroZ[mdps],magnX[mG],magnY[mG],magnZ[mG],press[hPa],temp[C],hum[%RH],newData,interrupts,fsm1,fsm2,fsm3,fsm4,fsm5,fsm6,fsm7,fsm8,fsm9,fsm10,fsm11,fsm12,fsm13,fsm14,fsm15,fsm16,
830,204,-72,1007,853,65,-428,-288,388,-345,,,,0x078,,,,,,,,,,,,,,,,,,
3741,248,-62,1011,927,-1089,1413,-288,388,-345,,,,0x018,,,,,,,,,,,,,,,,,,
14637,248,-62,1011,927,-1089,1413,-280,385,-340,,,,0x020,,,,,,,,,,,,,,,,,,
82512,164,-68,1109,2454,8627,11392,-280,385,-340,,,,0x018,,,,,,,,,,,,,,,,,,
113914,164,-68,1109,2454,8627,11392,-300,376,-340,,,,0x060,,,,,,,,,,,,,,,,,,
161287,151,-74,1021,14336,11764,22653,-300,376,-340,,,,0x018,,,,,,,,,,,,,,,,,,
213183,151,-74,1021,14336,11764,22653,-309,352,-342,,,,0x060,,,,,,,,,,,,,,,,,,
242108,185,-16,942,24416,16047,17329,-309,352,-342,,,,0x018,,,,,,,,,,,,,,,,,,
312461,185,-16,942,24416,16047,17329,-319,343,-337,,,,0x060,,,,,,,,,,,,,,,,,,
320887,167,27,975,16108,24451,6488,-319,343,-337,,,,0x018,,,,,,,,,,,,,,,,,,
401475,89,-13,997,4261,22290,5495,-319,343,-337,,,,0x018,,,,,,,,,,,,,,,,,,
410326,89,-13,997,4261,22290,5495,-340,342,-322,,,,0x060,,,,,,,,,,,,,,,,,,
480255,54,-86,1012,3154,13466,7446,-340,342,-322,,,,0x018,,,,,,,,,,,,,,,,,,
509594,54,-86,1012,3154,13466,7446,-345,336,-327,,,,0x060,,,,,,,,,,,,,,,,,,
559019,54,-86,1012,6741,8426,1299,-345,336,-327,,,,0x010,,,,,,,,,,,,,,,,,,
561394,71,-30,1031,6741,8426,1299,-345,336,-327,,,,0x008,,,,,,,,,,,,,,,,,,
608871,71,-30,1031,6741,8426,1299,-348,337,-328,,,,0x020,,,,,,,,,,,,,,,,,,
639856,0,5,1021,3644,6864,-1767,-348,337,-328,,,,0x058,,,,,,,,,,,,,,,,,,
708143,0,5,1021,3644,6864,-1767,-358,342,-333,,,,0x020,,,,,,,,,,,,,,,,,,
718630,57,2,990,-1693,4707,-6860,-358,342,-333,,,,0x058,,,,,,,,,,,,,,,,,,
799222,51,-11,1000,1697,10145,-5932,-358,342,-333,,,,0x018,,,,,,,,,,,,,,,,,,
806014,51,-11,1000,1697,10145,-5932,-358,337,-322,,,,0x020,,,,,,,,,,,,,,,,,,
877992,38,47,1021,4528,6527,-5066,-358,337,-322,,,,0x058,,,,,,,,,,,,,,,,,,
905284,38,47,1021,4528,6527,-5066,-364,336,-328,,,,0x020,,,,,,,,,,,,,,,,,,
958818,18,20,1024,3211,848,-3473,-364,336,-328,,,,0x058,,,,,,,,,,,,,,,,,,
1004560,18,20,1024,3211,848,-3473,-364,339,-333,,,,0x020,,,,,,,,,,,,,,,,,,
1037590,34,33,1002,4834,-2625,-936,-364,339,-333,,,,0x058,,,,,,,,,,,,,,,,,,
1103827,34,33,1002,4834,-2625,-936,-358,343,-327,,,,0x020,,,,,,,,,,,,,,,,,,
1116354,47,3,1002,2314,144,-1273,-358,343,-327,,,,0x018,,,,,,,,,,,,,,,,,,
1196954,31,21,1015,2506,896,-2432,-358,343,-327,,,,0x058,,,,,,,,,,,,,,,,,,
1201697,31,21,1015,2506,896,-2432,-367,330,-315,,,,0x020,,,,,,,,,,,,,,,,,,
1275726,12,42,1030,3880,2165,927,-367,330,-315,,,,0x058,,,,,,,,,,,,,,,,,,
1300968,12,42,1030,3880,2165,927,-357,336,-321,,,,0x020,,,,,,,,,,,,,,,,,,
1356552,0,34,1025,4970,752,5250,-357,336,-321,,,,0x058,,,,,,,,,,,,,,,,,,
1400242,0,34,1025,4970,752,5250,-355,327,-328,,,,0x020,,,,,,,,,,,,,,,,,,
1435326,45,50,1021,4786,-10080,4095,-355,327,-328,,,,0x058,,,,,,,,,,,,,,,,,,
1499519,45,50,1021,4786,-10080,4095,-354,324,-330,,,,0x020,,,,,,,,,,,,,,,,,,
1516144,40,73,1008,3749,-3285,3504,-354,324,-330,,,,0x018,,,,,,,,,,,,,,,,,,
1594690,26,69,1020,2248,6794,4055,-354,324,-330,,,,0x058,,,,,,,,,,,,,,,,,,
1597383,26,69,1020,2248,6794,4055,-369,322,-327,,,,0x020,,,,,,,,,,,,,,,,,,
1673468,26,69,1020,-4134,2353,975,-369,322,-327,,,,0x050,,,,,,,,,,,,,,,,,,
1675843,38,38,1018,-4134,2353,975,-369,322,-327,,,,0x008,,,,,,,,,,,,,,,,,,
1696671,38,38,1018,-4134,2353,975,-354,333,-331,,,,0x020,,,,,,,,,,,,,,,,,,
1754303,33,16,1019,-10342,-2935,1120,-354,333,-331,,,,0x058,,,,,,,,,,,,,,,,,,
1795951,33,16,1019,-10342,-2935,1120,-366,333,-324,,,,0x020,,,,,,,,,,,,,,,,,,
1833089,47,32,1010,-12429,-3115,8216,-366,333,-324,,,,0x058,,,,,,,,,,,,,,,,,,
1895237,47,32,1010,-12429,-3115,8216,-357,355,-327,,,,0x020,,,,,,,,,,,,,,,,,,
1913916,17,0,1022,-15290,-4532,3005,-357,355,-327,,,,0x018,,,,,,,,,,,,,,,,,,
1992474,28,-22,1009,-16148,-8837,3158,-352,361,-322,,,,0x078,,,,,,,,,,,,,,,,,,
2073303,86,-48,1032,-23638,-18816,-1076,-352,361,-322,,,,0x058,,,,,,,,,,,,,,,,,,
2092397,86,-48,1032,-23638,-18816,-1076,-346,375,-328,,,,0x020,,,,,,,,,,,,,,,,,,
2152087,109,-80,1022,-20020,-7573,-936,-346,375,-328,,,,0x058,,,,,,,,,,,,,,,,,,
2191683,109,-80,1022,-20020,-7573,-936,-351,387,-327,,,,0x020,,,,,,,,,,,,,,,,,,
2230862,110,-180,1064,-34431,12547,6155,-351,387,-327,,,,0x018,,,,,,,,,,,,,,,,,,
2290969,110,-180,1064,-34431,12547,6155,-366,409,-297,,,,0x060,,,,,,,,,,,,,,,,,,
2311696,53,-196,971,-49984,20055,24430,-366,409,-297,,,,0x018,,,,,,,,,,,,,,,,,,
2390247,20,-264,989,-45045,8015,18501,-378,430,-295,,,,0x078,,,,,,,,,,,,,,,,,,
2471071,5,-360,981,-48448,774,721,-378,430,-295,,,,0x058,,,,,,,,,,,,,,,,,,
2488115,5,-360,981,-48448,774,721,-372,451,-280,,,,0x020,,,,,,,,,,,,,,,,,,
2549852,44,-380,923,-59272,-9528,5066,-372,451,-280,,,,0x058,,,,,,,,,,,,,,,,,,
2587396,44,-380,923,-59272,-9528,5066,-364,478,-270,,,,0x020,,,,,,,,,,,,,,,,,,
2630676,48,-449,889,-57575,-6728,6413,-364,478,-270,,,,0x018,,,,,,,,,,,,,,,,,,
2686680,48,-449,889,-57575,-6728,6413,-366,523,-238,,,,0x060,,,,,,,,,,,,,,,,,,
2709460,39,-516,838,-54591,-3136,4252,-366,523,-238,,,,0x018,,,,,,,,,,,,,,,,,,
2783919,39,-516,838,-54591,-3136,4252,-369,544,-229,,,,0x060,,,,,,,,,,,,,,,,,,
2788246,26,-588,829,-56476,-5893,3198,-369,544,-229,,,,0x018,,,,,,,,,,,,,,,,,,
2868851,41,-649,767,-48698,-9148,-3259,-369,544,-229,,,,0x058,,,,,,,,,,,,,,,,,,
2883845,41,-649,767,-48698,-9148,-3259,-366,564,-210,,,,0x020,,,,,,,,,,,,,,,,,,
2947633,35,-681,726,-37804,-2616,-638,-366,564,-210,,,,0x058,,,,,,,,,,,,,,,,,,
2983129,35,-681,726,-37804,-2616,-638,-361,573,-196,,,,0x020,,,,,,,,,,,,,,,,,,
3028461,52,-750,723,-39383,-7739,1522,-361,573,-196,,,,0x018,,,,,,,,,,,,,,,,,,
3082418,52,-750,723,-39383,-7739,1522,-370,579,-180,,,,0x060,,,,,,,,,,,,,,,,,,
3107247,114,-788,677,-36155,-11235,7621,-370,579,-180,,,,0x018,,,,,,,,,,,,,,,,,,
3179654,114,-788,677,-36155,-11235,7621,-360,601,-162,,,,0x060,,,,,,,,,,,,,,,,,,
3186031,86,-747,628,-34094,-14363,-3863,-360,601,-162,,,,0x018,,,,,,,,,,,,,,,,,,
3266635,74,-870,598,-45609,12145,-2948,-360,601,-162,,,,0x058,,,,,,,,,,,,,,,,,,
3279578,74,-870,598,-45609,12145,-2948,-364,613,-129,,,,0x020,,,,,,,,,,,,,,,,,,
3345411,75,-899,547,-59801,19915,10005,-364,613,-129,,,,0x018,,,,,,,,,,,,,,,,,,
3378866,75,-899,547,-59801,19915,10005,-375,619,-91,,,,0x060,,,,,,,,,,,,,,,,,,
3426244,48,-922,435,-72616,23550,7468,-375,619,-91,,,,0x018,,,,,,,,,,,,,,,,,,
3476100,48,-922,435,-72616,23550,7468,-382,636,-55,,,,0x060,,,,,,,,,,,,,,,,,,
3505030,30,-947,386,-59933,22439,573,-382,636,-55,,,,0x018,,,,,,,,,,,,,,,,,,
3575380,30,-947,386,-59933,22439,573,-379,649,0,,,,0x060,,,,,,,,,,,,,,,,,,
3583806,-6,-974,271,-66727,23568,923,-379,649,0,,,,0x018,,,,,,,,,,,,,,,,,,
3664404,-1,-996,194,-66508,24408,-7634,-379,649,0,,,,0x058,,,,,,,,,,,,,,,,,,
3675297,-1,-996,194,-66508,24408,-7634,-382,643,51,,,,0x020,,,,,,,,,,,,,,,,,,
3743173,43,-997,133,-64553,1155,-9222,-382,643,51,,,,0x018,,,,,,,,,,,,,,,,,,
3774574,43,-997,133,-64553,1155,-9222,-385,637,84,,,,0x060,,,,,,,,,,,,,,,,,,
3824002,35,-989,-16,-75621,-9760,-3307,-385,637,84,,,,0x018,,,,,,,,,,,,,,,,,,
3873850,35,-989,-16,-75621,-9760,-3307,-366,634,123,,,,0x060,,,,,,,,,,,,,,,,,,
3902775,49,-1004,-118,-79953,11550,-5276,-366,634,123,,,,0x018,,,,,,,,,,,,,,,,,,
3971074,49,-1004,-118,-79953,11550,-5276,-363,610,184,,,,0x060,,,,,,,,,,,,,,,,,,
3981551,60,-973,-229,-98813,17320,1050,-363,610,184,,,,0x018,,,,,,,,,,,,,,,,,,
4062138,61,-944,-354,-113036,20125,5026,-363,610,184,,,,0x058,,,,,,,,,,,,,,,,,,
4070981,61,-944,-354,-113036,20125,5026,-354,573,252,,,,0x020,,,,,,,,,,,,,,,,,,
