#Format version: 1.0
time[us],accX[mg],accY[mg],accZ[mg],gyroX[mdps],gyroY[mdps],gyroZ[mdps],magnX[mG],magnY[mG],magnZ[mG],press[hPa],temp[C],hum[%RH],newData,interrupts,fsm1,fsm2,fsm3,fsm4,fsm5,fsm6,fsm7,fsm8,fsm9,fsm10,fsm11,fsm12,fsm13,fsm14,fsm15,fsm16,
7050793,-13,-17,1019,323,-21,183,-78,237,-309,,,,0x078,,,,,,,,,,,,,,,,,,
7094484,-13,-17,1019,323,-21,183,-84,238,-321,,,,0x020,,,,,,,,,,,,,,,,,,
7131618,-14,-16,1018,328,-4,183,-84,238,-321,,,,0x058,,,,,,,,,,,,,,,,,,
7193761,-14,-16,1018,328,-4,183,-81,235,-315,,,,0x020,,,,,,,,,,,,,,,,,,
7210394,-13,-16,1019,315,-4,183,-81,235,-315,,,,0x058,,,,,,,,,,,,,,,,,,
7290983,-13,-16,1019,323,-13,188,-76,238,-316,,,,0x038,,,,,,,,,,,,,,,,,,
7369747,-13,-16,1019,315,-13,179,-76,238,-316,,,,0x058,,,,,,,,,,,,,,,,,,
7390889,-13,-16,1019,315,-13,179,-88,243,-315,,,,0x020,,,,,,,,,,,,,,,,,,
7448524,-13,-16,1019,341,-21,179,-88,243,-315,,,,0x058,,,,,,,,,,,,,,,,,,
7490166,-13,-16,1019,341,-21,179,-79,241,-315,,,,0x020,,,,,,,,,,,,,,,,,,
7529348,-13,-16,1018,328,-21,179,-79,241,-315,,,,0x058,,,,,,,,,,,,,,,,,,
7589435,-13,-16,1018,328,-21,179,-90,240,-312,,,,0x020,,,,,,,,,,,,,,,,,,
7608112,-13,-16,1018,328,-21,179,-90,240,-312,,,,0x018,,,,,,,,,,,,,,,,,,
7686663,-13,-16,1018,328,-21,179,-75,235,-315,,,,0x060,,,,,,,,,,,,,,,,,,
7688938,-14,-16,1018,328,-21,183,-75,235,-315,,,,0x018,,,,,,,,,,,,,,,,,,
7767485,-14,-16,1019,319,-21,170,-75,235,-315,,,,0x058,,,,,,,,,,,,,,,,,,
7786578,-14,-16,1019,319,-21,170,-79,241,-318,,,,0x020,,,,,,,,,,,,,,,,,,
7848311,-13,-16,1019,332,-21,183,-79,241,-318,,,,0x058,,,,,,,,,,,,,,,,,,
7885850,-13,-16,1019,332,-21,183,-78,240,-306,,,,0x020,,,,,,,,,,,,,,,,,,
7927084,-14,-16,1018,319,-4,188,-78,240,-306,,,,0x058,,,,,,,,,,,,,,,,,,
7985127,-14,-16,1018,319,-4,188,-87,247,-327,,,,0x020,,,,,,,,,,,,,,,,,,
8007902,-13,-16,1018,336,-13,188,-87,247,-327,,,,0x018,,,,,,,,,,,,,,,,,,
8084397,-13,-16,1018,336,-13,188,-85,244,-309,,,,0x060,,,,,,,,,,,,,,,,,,
8086671,-13,-16,1018,328,-26,192,-85,244,-309,,,,0x018,,,,,,,,,,,,,,,,,,
8167273,-13,-16,1019,336,-17,192,-85,244,-309,,,,0x058,,,,,,,,,,,,,,,,,,
8182266,-13,-16,1019,336,-17,192,-75,240,-324,,,,0x020,,,,,,,,,,,,,,,,,,
8246045,-13,-16,1018,328,-17,183,-75,240,-324,,,,0x058,,,,,,,,,,,,,,,,,,
8281537,-13,-16,1018,328,-17,183,-82,240,-315,,,,0x020,,,,,,,,,,,,,,,,,,
8326871,-14,-16,1018,319,-21,179,-82,240,-315,,,,0x058,,,,,,,,,,,,,,,,,,
8380816,-14,-16,1018,319,-21,179,-79,243,-315,,,,0x020,,,,,,,,,,,,,,,,,,
8405638,-14,-16,1018,319,-13,179,-79,243,-315,,,,0x018,,,,,,,,,,,,,,,,,,
8480087,-14,-16,1018,319,-13,179,-90,237,-312,,,,0x060,,,,,,,,,,,,,,,,,,
8484414,-13,-16,1018,328,-17,196,-90,237,-312,,,,0x018,,,,,,,,,,,,,,,,,,
8565013,-13,-16,1018,341,-8,188,-90,237,-312,,,,0x058,,,,,,,,,,,,,,,,,,
8577955,-13,-16,1018,341,-8,188,-76,243,-309,,,,0x020,,,,,,,,,,,,,,,,,,
8643789,-13,-16,1018,323,-30,192,-76,243,-309,,,,0x058,,,,,,,,,,,,,,,,,,
8677232,-13,-16,1018,323,-30,192,-84,244,-312,,,,0x020,,,,,,,,,,,,,,,,,,
8724605,-13,-16,1019,332,-13,196,-84,244,-312,,,,0x018,,,,,,,,,,,,,,,,,,
8776502,-13,-16,1019,332,-13,196,-84,240,-310,,,,0x060,,,,,,,,,,,,,,,,,,
8803378,-13,-16,1018,341,-21,188,-84,240,-310,,,,0x018,,,,,,,,,,,,,,,,,,
8875780,-13,-16,1018,341,-21,188,-81,234,-316,,,,0x060,,,,,,,,,,,,,,,,,,
8884207,-13,-16,1018,328,-17,188,-81,234,-316,,,,0x018,,,,,,,,,,,,,,,,,,
8962752,-14,-16,1018,310,-26,196,-81,234,-316,,,,0x058,,,,,,,,,,,,,,,,,,
8973646,-14,-16,1018,310,-26,196,-90,241,-309,,,,0x020,,,,,,,,,,,,,,,,,,
9043580,-14,-16,1019,315,-17,188,-90,241,-309,,,,0x058,,,,,,,,,,,,,,,,,,
9072924,-14,-16,1019,315,-17,188,-78,238,-309,,,,0x020,,,,,,,,,,,,,,,,,,
9122345,-14,-16,1018,336,-8,175,-78,238,-309,,,,0x018,,,,,,,,,,,,,,,,,,
9172192,-14,-16,1018,336,-8,175,-75,234,-318,,,,0x060,,,,,,,,,,,,,,,,,,
9201118,-13,-16,1018,319,-13,192,-75,234,-318,,,,0x018,,,,,,,,,,,,,,,,,,
9271469,-13,-16,1018,319,-13,192,-79,243,-310,,,,0x060,,,,,,,,,,,,,,,,,,
9281945,-14,-16,1018,315,-13,192,-79,243,-310,,,,0x018,,,,,,,,,,,,,,,,,,
9360491,-13,-16,1018,328,-26,183,-79,243,-310,,,,0x058,,,,,,,,,,,,,,,,,,
9369333,-13,-16,1018,328,-26,183,-84,235,-306,,,,0x020,,,,,,,,,,,,,,,,,,
9441312,-13,-16,1019,315,-8,170,-84,235,-306,,,,0x058,,,,,,,,,,,,,,,,,,
9468604,-13,-16,1019,315,-8,170,-82,241,-309,,,,0x020,,,,,,,,,,,,,,,,,,
9520081,-13,-17,1019,315,-13,179,-82,241,-309,,,,0x018,,,,,,,,,,,,,,,,,,
9567883,-13,-17,1019,315,-13,179,-84,244,-312,,,,0x060,,,,,,,,,,,,,,,,,,
9600912,-13,-16,1019,319,-13,175,-84,244,-312,,,,0x018,,,,,,,,,,,,,,,,,,
9667161,-13,-16,1019,319,-13,175,-85,244,-306,,,,0x060,,,,,,,,,,,,,,,,,,
9679687,-14,-16,1019,319,-13,196,-85,244,-306,,,,0x018,,,,,,,,,,,,,,,,,,
9760287,-13,-16,1019,319,-26,188,-85,244,-306,,,,0x058,,,,,,,,,,,,,,,,,,
9765030,-13,-16,1019,319,-26,188,-87,240,-310,,,,0x020,,,,,,,,,,,,,,,,,,
9839050,-13,-16,1018,336,-8,179,-87,240,-310,,,,0x018,,,,,,,,,,,,,,,,,,
9864302,-13,-16,1018,336,-8,179,-84,235,-303,,,,0x060,,,,,,,,,,,,,,,,,,
9917827,-13,-16,1018,315,-4,183,-84,235,-303,,,,0x010,,,,,,,,,,,,,,,,,,
9920201,-13,-16,1018,315,-4,183,-84,235,-303,,,,0x008,,,,,,,,,,,,,,,,,,
9963584,-13,-16,1018,315,-4,183,-81,237,-321,,,,0x060,,,,,,,,,,,,,,,,,,
9998661,-13,-16,1018,328,-13,175,-81,237,-321,,,,0x018,,,,,,,,,,,,,,,,,,
10062857,-13,-16,1018,328,-13,175,-87,243,-312,,,,0x060,,,,,,,,,,,,,,,,,,
