#Format version: 1.0
time[us],accX[mg],accY[mg],accZ[mg],gyroX[mdps],gyroY[mdps],gyroZ[mdps],magnX[mG],magnY[mG],magnZ[mG],press[hPa],temp[C],hum[%RH],newData,interrupts,fsm1,fsm2,fsm3,fsm4,fsm5,fsm6,fsm7,fsm8,fsm9,fsm10,fsm11,fsm12,fsm13,fsm14,fsm15,fsm16,
536324484,12,-40,1016,376,78,-131,-27,240,-286,,,,0x078,,,,,,,,,,,,,,,,,,
536347679,12,-40,1016,376,78,-131,-30,234,-277,,,,0x020,,,,,,,,,,,,,,,,,,
536403261,15,-43,1026,481,56,-245,-30,234,-277,,,,0x018,,,,,,,,,,,,,,,,,,
536446967,15,-43,1026,481,56,-245,-25,231,-298,,,,0x060,,,,,,,,,,,,,,,,,,
536484097,11,-49,1009,599,756,-293,-25,231,-298,,,,0x018,,,,,,,,,,,,,,,,,,
536544207,11,-49,1009,599,756,-293,-33,237,-297,,,,0x060,,,,,,,,,,,,,,,,,,
536562886,13,-51,1002,148,315,140,-33,237,-297,,,,0x018,,,,,,,,,,,,,,,,,,
536641444,13,-51,1002,-183,-953,1238,-33,237,-297,,,,0x050,,,,,,,,,,,,,,,,,,
536643819,8,-39,1024,-183,-953,1238,-24,223,-303,,,,0x028,,,,,,,,,,,,,,,,,,
536722267,10,-31,1017,-131,-411,1181,-24,223,-303,,,,0x058,,,,,,,,,,,,,,,,,,
536743414,10,-31,1017,-131,-411,1181,-30,234,-289,,,,0x020,,,,,,,,,,,,,,,,,,
536801045,9,-36,1024,297,-363,39,-30,234,-289,,,,0x018,,,,,,,,,,,,,,,,,,
536842699,9,-36,1024,297,-363,39,-31,225,-295,,,,0x060,,,,,,,,,,,,,,,,,,
536881876,12,-49,1019,625,511,-721,-31,225,-295,,,,0x018,,,,,,,,,,,,,,,,,,
536939930,12,-49,1019,625,511,-721,-24,231,-295,,,,0x060,,,,,,,,,,,,,,,,,,
536960659,13,-50,1016,752,853,-188,-24,231,-295,,,,0x018,,,,,,,,,,,,,,,,,,
537039218,13,-50,1016,752,853,-188,-36,231,-295,,,,0x060,,,,,,,,,,,,,,,,,,
537041493,11,-42,1007,546,704,415,-36,231,-295,,,,0x018,,,,,,,,,,,,,,,,,,
537120039,11,-40,1014,669,-218,406,-36,231,-295,,,,0x018,,,,,,,,,,,,,,,,,,
537139142,11,-40,1014,669,-218,406,-30,226,-288,,,,0x060,,,,,,,,,,,,,,,,,,
537198820,10,-43,1029,630,-393,183,-30,226,-288,,,,0x018,,,,,,,,,,,,,,,,,,
