#Format version: 1.0
time[us],accX[mg],accY[mg],accZ[mg],gyroX[mdps],gyroY[mdps],gyroZ[mdps],magnX[mG],magnY[mG],magnZ[mG],press[hPa],temp[C],hum[%RH],newData,interrupts,fsm1,fsm2,fsm3,fsm4,fsm5,fsm6,fsm7,fsm8,fsm9,fsm10,fsm11,fsm12,fsm13,fsm14,fsm15,fsm16,
8267488,22,-25,1020,783,-140,345,-15,234,-288,,,,0x078,,,,,,,,,,,,,,,,,,
8313232,22,-25,1020,783,-140,345,-10,232,-288,,,,0x020,,,,,,,,,,,,,,,,,,
8346271,24,-17,1024,748,354,708,-10,232,-288,,,,0x058,,,,,,,,,,,,,,,,,,
8412517,24,-17,1024,748,354,708,-13,232,-289,,,,0x020,,,,,,,,,,,,,,,,,,
8425046,20,-14,1014,249,721,402,-13,232,-289,,,,0x018,,,,,,,,,,,,,,,,,,
8505658,19,-12,1013,-126,148,560,-13,232,-289,,,,0x058,,,,,,,,,,,,,,,,,,
8510401,19,-12,1013,-126,148,560,-15,235,-277,,,,0x020,,,,,,,,,,,,,,,,,,
8584438,15,-26,1011,455,739,-65,-15,235,-277,,,,0x058,,,,,,,,,,,,,,,,,,
8609682,15,-26,1011,455,739,-65,-19,228,-286,,,,0x020,,,,,,,,,,,,,,,,,,
8663220,12,-14,1010,1360,1640,800,-19,228,-286,,,,0x058,,,,,,,,,,,,,,,,,,
8708967,12,-14,1010,1360,1640,800,-19,228,-298,,,,0x020,,,,,,,,,,,,,,,,,,
8744057,8,2,1023,1378,3836,175,-19,228,-298,,,,0x058,,,,,,,,,,,,,,,,,,
8808256,8,2,1023,1378,3836,175,-25,234,-294,,,,0x020,,,,,,,,,,,,,,,,,,
8822833,-1,-17,1008,3351,6002,-1338,-25,234,-294,,,,0x018,,,,,,,,,,,,,,,,,,
8903439,-2,-18,1031,2100,6160,-1408,-25,234,-294,,,,0x058,,,,,,,,,,,,,,,,,,
8906132,-2,-18,1031,2100,6160,-1408,-27,234,-292,,,,0x020,,,,,,,,,,,,,,,,,,
8982222,-11,0,1050,-1001,10263,74,-27,234,-292,,,,0x058,,,,,,,,,,,,,,,,,,
9005417,-11,0,1050,-1001,10263,74,-30,226,-291,,,,0x020,,,,,,,,,,,,,,,,,,
9061009,-36,-24,1023,2104,15785,-262,-30,226,-291,,,,0x058,,,,,,,,,,,,,,,,,,
9104707,-36,-24,1023,2104,15785,-262,-48,228,-303,,,,0x020,,,,,,,,,,,,,,,,,,
9141844,-60,-3,1015,1299,12385,1159,-48,228,-303,,,,0x058,,,,,,,,,,,,,,,,,,
9203988,-60,-3,1015,1299,12385,1159,-40,226,-300,,,,0x020,,,,,,,,,,,,,,,,,,
