time,accX,accY,accZ,gyroX,gyroY,gyroZ,magX,magY,magZ
7050.793,-0.013,-0.017,1.019,0.323,-0.021,0.183,-6.66779820478563,-9.26042233305372,46.4738258047397
7094.484,-0.013,-0.017,1.019,0.323,-0.021,0.183,-7.62641534184006,-9.10808976228492,44.6164493209172
7131.618,-0.014,-0.016,1.018,0.328,-0.004,0.183,-7.62641534184006,-9.10808976228492,44.6164493209172
7193.761,-0.014,-0.016,1.018,0.328,-0.004,0.183,-7.14685856331636,-9.5560835105894,45.5451375628285
7210.394,-0.013,-0.016,1.019,0.315,-0.004,0.183,-7.14685856331636,-9.5560835105894,45.5451375628285
7290.983,-0.013,-0.016,1.019,0.323,-0.013,0.188,-6.34887974752517,-9.10959042295191,45.3903561891766
7369.747,-0.013,-0.016,1.019,0.315,-0.013,0.179,-6.34887974752517,-9.10959042295191,45.3903561891766
7390.889,-0.013,-0.016,1.019,0.315,-0.013,0.179,-8.26530230599447,-8.36623562924514,45.5451375628285
7448.524,-0.013,-0.016,1.019,0.341,-0.021,0.179,-8.26530230599447,-8.36623562924514,45.5451375628285
7490.166,-0.013,-0.016,1.019,0.341,-0.021,0.179,-6.82812584711097,-8.66369759958121,45.5451375628285
7529.348,-0.013,-0.016,1.018,0.328,-0.021,0.179,-6.82812584711097,-8.66369759958121,45.5451375628285
7589.435,-0.013,-0.016,1.018,0.328,-0.021,0.179,-8.58419972607939,-8.81332898114943,46.0094816837841
7608.112,-0.013,-0.016,1.018,0.328,-0.021,0.179,-8.58419972607939,-8.81332898114943,46.0094816837841
7686.663,-0.013,-0.016,1.018,0.328,-0.021,0.179,-6.18887330272549,-9.5560835105894,45.5451375628285
7688.938,-0.014,-0.016,1.018,0.328,-0.021,0.183,-6.18887330272549,-9.5560835105894,45.5451375628285
7767.485,-0.014,-0.016,1.019,0.319,-0.021,0.17,-6.18887330272549,-9.5560835105894,45.5451375628285
7786.578,-0.014,-0.016,1.019,0.319,-0.021,0.17,-6.82825899522722,-8.66279720318101,45.0807934418728
7848.311,-0.013,-0.016,1.019,0.332,-0.021,0.183,-6.82825899522722,-8.66279720318101,45.0807934418728
7885.85,-0.013,-0.016,1.019,0.332,-0.021,0.183,-6.66796290866517,-8.81512977394982,46.9381699256954
7927.084,-0.014,-0.016,1.018,0.319,-0.004,0.188,-6.66796290866517,-8.81512977394982,46.9381699256954
7985.127,-0.014,-0.016,1.018,0.319,-0.004,0.188,-8.10656782435534,-7.76771010297224,43.6877610790059
8007.902,-0.013,-0.016,1.018,0.336,-0.013,0.188,-8.10656782435534,-7.76771010297224,43.6877610790059
8084.397,-0.013,-0.016,1.018,0.336,-0.013,0.188,-7.78614266346514,-8.21930543687749,46.4738258047397
8086.671,-0.013,-0.016,1.018,0.328,-0.026,0.192,-7.78614266346514,-8.21930543687749,46.4738258047397
8167.273,-0.013,-0.016,1.019,0.336,-0.017,0.192,-7.78614266346514,-8.21930543687749,46.4738258047397
8182.266,-0.013,-0.016,1.019,0.336,-0.017,0.192,-6.1897691670672,-8.80972739554866,44.1521051999616
8246.045,-0.013,-0.016,1.018,0.328,-0.017,0.183,-6.1897691670672,-8.80972739554866,44.1521051999616
8281.537,-0.013,-0.016,1.018,0.328,-0.017,0.183,-7.30701919340781,-8.81242858474924,45.5451375628285
8326.871,-0.014,-0.016,1.018,0.319,-0.021,0.179,-7.30701919340781,-8.81242858474924,45.5451375628285
8380.816,-0.014,-0.016,1.018,0.319,-0.021,0.179,-6.82832441510816,-8.36623562924514,45.5451375628285
8405.638,-0.014,-0.016,1.018,0.319,-0.013,0.179,-6.82832441510816,-8.36623562924514,45.5451375628285
8480.087,-0.014,-0.016,1.018,0.319,-0.013,0.179,-8.58390187408361,-9.25952193665353,46.0094816837841
8484.414,-0.013,-0.016,1.018,0.328,-0.017,0.196,-8.58390187408361,-9.25952193665353,46.0094816837841
8565.013,-0.013,-0.016,1.018,0.341,-0.008,0.188,-8.58390187408361,-9.25952193665353,46.0094816837841
8577.955,-0.013,-0.016,1.018,0.341,-0.008,0.188,-6.34906548858024,-8.36803642204552,46.4738258047397
8643.789,-0.013,-0.016,1.018,0.323,-0.03,0.192,-6.34906548858024,-8.36803642204552,46.4738258047397
8677.232,-0.013,-0.016,1.018,0.323,-0.03,0.192,-7.62661160148291,-8.2184050404773,46.0094816837841
8724.605,-0.013,-0.016,1.019,0.332,-0.013,0.196,-7.62661160148291,-8.2184050404773,46.0094816837841
8776.502,-0.013,-0.016,1.019,0.332,-0.013,0.196,-7.6261257000777,-8.81392924541623,46.3190444310879
8803.378,-0.013,-0.016,1.018,0.341,-0.021,0.188,-7.6261257000777,-8.81392924541623,46.3190444310879
8875.78,-0.013,-0.016,1.018,0.341,-0.021,0.188,-7.14680366202317,-9.70451436362404,45.3903561891766
8884.207,-0.013,-0.016,1.018,0.328,-0.017,0.188,-7.14680366202317,-9.70451436362404,45.3903561891766
8962.752,-0.014,-0.016,1.018,0.31,-0.026,0.196,-7.14680366202317,-9.70451436362404,45.3903561891766
8973.646,-0.014,-0.016,1.018,0.31,-0.026,0.196,-8.58416586196174,-8.66549839238159,46.4738258047397
9043.58,-0.014,-0.016,1.019,0.315,-0.017,0.188,-8.58416586196174,-8.66549839238159,46.4738258047397
9072.924,-0.014,-0.016,1.019,0.315,-0.017,0.188,-6.66789748878422,-9.11169134788569,46.4738258047397
9122.345,-0.014,-0.016,1.018,0.336,-0.008,0.175,-6.66789748878422,-9.11169134788569,46.4738258047397
9172.192,-0.014,-0.016,1.018,0.336,-0.008,0.175,-6.18890716684314,-9.70391409935725,45.0807934418728
9201.118,-0.013,-0.016,1.018,0.319,-0.013,0.192,-6.18890716684314,-9.70391409935725,45.0807934418728
9271.469,-0.013,-0.016,1.018,0.319,-0.013,0.192,-6.82810250158109,-8.36773628991213,46.3190444310879
9281.945,-0.014,-0.016,1.018,0.315,-0.013,0.192,-6.82810250158109,-8.36773628991213,46.3190444310879
9360.491,-0.013,-0.016,1.018,0.328,-0.026,0.183,-6.82810250158109,-8.36773628991213,46.3190444310879
9369.333,-0.013,-0.016,1.018,0.328,-0.026,0.183,-7.62545174926306,-9.55878469978998,46.9381699256954
9441.312,-0.013,-0.016,1.019,0.315,-0.008,0.17,-7.62545174926306,-9.55878469978998,46.9381699256954
9468.604,-0.013,-0.016,1.019,0.315,-0.008,0.17,-7.30685218117392,-8.66549839238159,46.4738258047397
9520.081,-0.013,-0.017,1.019,0.315,-0.013,0.179,-7.30685218117392,-8.66549839238159,46.4738258047397
9567.883,-0.013,-0.017,1.019,0.315,-0.013,0.179,-7.62661160148291,-8.2184050404773,46.0094816837841
9600.912,-0.013,-0.016,1.019,0.319,-0.013,0.175,-7.62661160148291,-8.2184050404773,46.0094816837841
9667.161,-0.013,-0.016,1.019,0.319,-0.013,0.175,-7.7860095153489,-8.22020583327769,46.9381699256954
9679.687,-0.014,-0.016,1.019,0.319,-0.013,0.196,-7.7860095153489,-8.22020583327769,46.9381699256954
9760.287,-0.013,-0.016,1.019,0.319,-0.026,0.188,-7.7860095153489,-8.22020583327769,46.9381699256954
9765.03,-0.013,-0.016,1.019,0.319,-0.026,0.188,-8.10511833037313,-8.81392924541623,46.3190444310879
9839.05,-0.013,-0.016,1.018,0.336,-0.008,0.179,-8.10511833037313,-8.81392924541623,46.3190444310879
9864.302,-0.013,-0.016,1.018,0.336,-0.008,0.179,-7.62531860114682,-9.55968509619017,47.402514046651
9917.827,-0.013,-0.016,1.018,0.315,-0.004,0.183,-7.62531860114682,-9.55968509619017,47.402514046651
9920.201,-0.013,-0.016,1.018,0.315,-0.004,0.183,-7.62531860114682,-9.55968509619017,47.402514046651
9963.584,-0.013,-0.016,1.018,0.315,-0.004,0.183,-7.14732342754603,-9.25682074745296,44.6164493209172
9998.661,-0.013,-0.016,1.018,0.328,-0.013,0.175,-7.14732342754603,-9.25682074745296,44.6164493209172
10062.857,-0.013,-0.016,1.018,0.328,-0.013,0.175,-8.10550494777974,-8.36713602564533,46.0094816837841
10077.434,-0.013,-0.016,1.018,0.315,-0.026,0.196,-8.10550494777974,-8.36713602564533,46.0094816837841
10158.035,-0.013,-0.016,1.018,0.332,-0.017,0.192,-8.10550494777974,-8.36713602564533,46.0094816837841
10160.728,-0.013,-0.016,1.018,0.332,-0.017,0.192,-7.14748813142558,-8.81152818834905,45.0807934418728
10236.8,-0.014,-0.016,1.018,0.336,-0.026,0.188,-7.14748813142558,-8.81152818834905,45.0807934418728
10260,-0.014,-0.016,1.018,0.336,-0.026,0.188,-7.30652277341483,-9.5560835105894,45.5451375628285
10317.627,-0.013,-0.016,1.018,0.328,-0.013,0.179,-7.30652277341483,-9.5560835105894,45.5451375628285
10359.277,-0.013,-0.016,1.018,0.328,-0.013,0.179,-7.7851942061846,-9.70631515642443,46.3190444310879
10396.4,-0.013,-0.016,1.019,0.328,-0.021,0.175,-7.7851942061846,-9.70631515642443,46.3190444310879
10458.542,-0.013,-0.016,1.019,0.328,-0.021,0.175,-7.78541381135732,-9.11259174428588,46.9381699256954
10477.218,-0.013,-0.016,1.018,0.319,-0.013,0.183,-7.78541381135732,-9.11259174428588,46.9381699256954
10555.762,-0.013,-0.016,1.018,0.319,-0.004,0.192,-7.307253933877,-9.25501995465257,43.6877610790059
10634.533,-0.014,-0.016,1.018,0.328,-0.004,0.196,-7.307253933877,-9.25501995465257,43.6877610790059
10655.676,-0.014,-0.016,1.018,0.328,-0.004,0.196,-7.14647194590974,-10.0028767303603,45.8547003101322
10715.363,-0.014,-0.016,1.019,0.328,-0.008,0.196,-7.14647194590974,-10.0028767303603,45.8547003101322
10754.954,-0.014,-0.016,1.019,0.328,-0.008,0.196,-7.30715003316971,-8.21930543687749,46.4738258047397
10794.136,-0.013,-0.016,1.018,0.319,-0.026,0.201,-7.30715003316971,-8.21930543687749,46.4738258047397
10854.228,-0.013,-0.016,1.018,0.319,-0.026,0.201,-8.58427566454811,-8.36863668631232,46.7833885520435
10874.962,-0.013,-0.017,1.019,0.328,0,0.192,-8.58427566454811,-8.36863668631232,46.7833885520435
10953.499,-0.014,-0.016,1.018,0.328,-0.013,0.188,-6.34831559929689,-9.55758417125639,46.3190444310879
11034.318,-0.013,-0.016,1.018,0.323,-0.017,0.183,-6.34831559929689,-9.55758417125639,46.3190444310879
11051.361,-0.013,-0.016,1.018,0.323,-0.017,0.183,-7.62618290972522,-9.25772114385315,45.0807934418728
11113.093,-0.013,-0.016,1.019,0.323,-0.013,0.183,-7.62618290972522,-9.25772114385315,45.0807934418728
11150.634,-0.013,-0.016,1.019,0.323,-0.013,0.183,-8.10560654013269,-8.81062779194886,44.6164493209172
11191.871,-0.013,-0.016,1.019,0.336,-0.008,0.188,-8.10560654013269,-8.81062779194886,44.6164493209172
11194.246,-0.014,-0.016,1.019,0.336,-0.008,0.188,-8.10560654013269,-8.81062779194886,44.6164493209172
