time,accX,accY,accZ,gyroX,gyroY,gyroZ,magX,magY,magZ
8267.488,0.022,-0.025,1.02,0.783,-0.14,0.345,21.9392534805679,-6.45817754059931,-41.3764618089164
8313.232,0.022,-0.025,1.02,0.783,-0.14,0.345,22.5242346663346,-6.69880991406644,-41.3764618089164
8346.271,0.024,-0.017,1.024,0.748,0.354,0.708,22.5242346663346,-6.69880991406644,-41.3764618089164
8412.517,0.024,-0.017,1.024,0.748,0.354,0.708,22.1731562672673,-6.6986390285873,-41.454634528204
8425.046,0.02,-0.014,1.014,0.249,0.721,0.402,22.1731562672673,-6.6986390285873,-41.454634528204
8505.658,0.019,-0.012,1.013,-0.126,0.148,0.56,22.1731562672673,-6.6986390285873,-41.454634528204
8510.401,0.019,-0.012,1.013,-0.126,0.148,0.56,21.9422235208722,-6.33974109413622,-40.5165618967527
8584.438,0.015,-0.026,1.011,0.455,0.739,-0.065,21.9422235208722,-6.33974109413622,-40.5165618967527
8609.682,0.015,-0.026,1.011,0.455,0.739,-0.065,21.4730737076807,-7.18041643195895,-41.2201163703412
8663.22,0.012,-0.014,1.01,1.36,1.64,0.8,21.4730737076807,-7.18041643195895,-41.2201163703412
8708.967,0.012,-0.014,1.01,1.36,1.64,0.8,21.4696563036566,-7.17836580620934,-42.1581890017924
8744.057,0.008,0.002,1.023,1.378,3.836,0.175,21.4696563036566,-7.17836580620934,-42.1581890017924
8808.256,0.008,0.002,1.023,1.378,3.836,0.175,20.7682327272272,-6.45715222772451,-41.845498124642
8822.833,-0.001,-0.017,1.008,3.351,6.002,-1.338,20.7682327272272,-6.45715222772451,-41.845498124642
8903.439,-0.002,-0.018,1.031,2.1,6.16,-1.408,20.7682327272272,-6.45715222772451,-41.845498124642
8906.132,-0.002,-0.018,1.031,2.1,6.16,-1.408,20.5349398842988,-6.45749399868278,-41.6891526860668
8982.222,-0.011,0,1.05,-1.001,10.263,0.074,20.5349398842988,-6.45749399868278,-41.6891526860668
9005.417,-0.011,0,1.05,-1.001,10.263,0.074,20.185731692978,-7.4201943780304,-41.6109799667792
